item_number, item_title, payment_method, postal_code, shipping_method, sales_price, selling_state, best_offer, bin_available, start_time, end_time, listing_type, returns_accepted, condition, top_rated, seller, feedback_percentage, feedback_score, description
202832988171,Apple iPhone x - 64GB - Black (CDMA + GSM),PayPal,701**,Free,400.0,EndedWithoutSales,false,false,2019-11-29T02:48:11.000Z,2019-11-28T16:16:26.000Z,FixedPrice,false,3000,false,towill-5153,,0,577
202833321254,Apple iPhone XS Max - 256GB - Gold (Unlocked) A1921 (CDMA + GSM),PayPal,331**,Free,709.0,EndedWithSales,true,false,2019-11-29T01:01:26.000Z,2019-11-28T16:19:52.000Z,FixedPrice,false,1500,false,iakus_iakus,100,99,113
383291315341,Apple iPhone XS Max - 64GB - Gold (AT&T) A1921 (CDMA + GSM),PayPal,922**,Calculated,544.0,EndedWithoutSales,true,false,2019-11-28T19:19:44.000Z,2019-11-28T19:20:52.000Z,FixedPrice,false,3000,false,edwipadill-5,94.1,15,183
184059556528,Apple iPhone X - 64GB - Silver (Unlocked) A1901 (GSM),PayPal,537**,Flat,450.0,EndedWithSales,true,false,2019-11-28T19:05:55.000Z,2019-11-28T19:16:27.000Z,FixedPrice,false,3000,false,neirodubel,100,872,175
401976717289,Apple iPhone XS - 64GB - Space Gray (Verizon) A1920 BAD ESN - No Power,PayPal,327**,Free,99.95,EndedWithSales,false,false,2019-11-28T18:36:46.000Z,2019-11-28T18:37:15.000Z,FixedPrice,true,7000,false,studele86,100,61,2994
123992133110,Apple iPhone XS Max - 256GB - Gold (Verizon) A1921 (CDMA + GSM),PayPal,156**,Flat,450.0,EndedWithSales,true,false,2019-11-28T18:04:42.000Z,2019-11-28T18:08:11.000Z,FixedPrice,false,3000,false,niece400,93.3,292,174
153742336983,Apple iPhone 11 - 64GB - Purple (T-Mobile) A2111 (CDMA + GSM) “BAD ESN”,PayPal,100**,Calculated,479.99,EndedWithoutSales,true,false,2019-11-28T17:27:27.000Z,2019-11-28T18:59:30.000Z,FixedPrice,false,7000,false,tatiananyc,100,38,151
223771375792,Apple iPhone XS Max 64GB - Cracked/bad Esn-For Parts And Not Wk **PLEASE READ**,NA,916**,Flat,300.0,EndedWithSales,false,false,2019-11-28T17:13:41.000Z,2019-11-28T17:23:34.000Z,StoreInventory,false,7000,false,1970vart,100,1804,804
174109800237,Apple iPhone X **Factory Unlocked** BUNDLE*** 256GB - Silver,PayPal,916**,Free,495.0,EndedWithSales,true,false,2019-11-28T16:49:46.000Z,2019-11-28T17:11:14.000Z,FixedPrice,false,3000,false,makerealmoves,100,40,804
163965152287,Apple iPhone X - 256GB - Space Gray (Unlocked) A1865 (CDMA + GSM),PayPal,852**,Free,499.0,EndedWithSales,false,false,2019-11-28T16:31:58.000Z,2019-11-28T16:42:09.000Z,FixedPrice,false,3000,false,pgreen0,100,63,76
