item_number, item_title, payment_method, postal_code, shipping_method, sales_price, selling_state, best_offer, bin_available, start_time, end_time, listing_type, returns_accepted, condition, top_rated, seller, feedback_percentage, feedback_score, description
362830661231,The Brethren by John Grisham,PayPal,105**,Free,7.0,EndedWithoutSales,true,false,2019-11-29T16:50:22.000Z,2019-11-28T16:53:53.000Z,FixedPrice,false,5000,false,locara56,,0,87
362829933796,Teamwork and Team Building : Soft Skills for a Digital Workplace,PayPal,705**,Flat,50.0,EndedWithoutSales,true,false,2019-11-29T03:00:34.000Z,2019-11-28T22:11:30.000Z,FixedPrice,false,2750,false,*trevor*,,0,47
362829931241,Ethics In Information Technology - 6th Edition,PayPal,705**,Flat,50.0,EndedWithoutSales,false,false,2019-11-29T02:55:59.000Z,2019-11-28T22:14:07.000Z,FixedPrice,false,2750,false,*trevor*,,0,63
362829929416,An Object-Oriented Approach to Programming Logic and Design - 4th Edition,PayPal,705**,Flat,75.0,EndedWithoutSales,true,false,2019-11-29T02:51:28.000Z,2019-11-28T22:13:43.000Z,FixedPrice,false,5000,false,*trevor*,,0,54
362829926428,New Perspectives on HTML5 CSS3 and JavaScript - 6th Edition,PayPal,705**,Flat,40.0,EndedWithoutSales,true,false,2019-11-29T02:47:30.000Z,2019-11-28T22:07:33.000Z,FixedPrice,false,6000,false,*trevor*,,0,124
362829918829,A Pocket Style Manual - 8th Edition,PayPal,705**,Calculated,20.0,EndedWithoutSales,false,false,2019-11-29T02:39:11.000Z,2019-11-28T20:48:13.000Z,FixedPrice,false,1000,false,*trevor*,,0,41
383291317677,Cengage Principles and Labs for Fitness & Wellness 15th Edition ,PayPal,761**,Calculated,60.0,EndedWithoutSales,true,false,2019-11-28T22:22:52.000Z,2019-11-28T19:32:34.000Z,FixedPrice,false,2750,false,ashra40,,0,97
312866056036,MEG: Nightstalkers by Alten Steve,PayPal,00000,Flat,2.89,EndedWithoutSales,false,false,2019-11-28T22:16:17.000Z,2019-11-28T22:25:03.000Z,FixedPrice,true,6000,false,stvincentcharity,99.7,30518,4971
303382752075,Iron (Wonder Woman The New 52! Volume 3),PayPal,00000,Flat,5.99,EndedWithoutSales,false,false,2019-11-28T22:15:20.000Z,2019-11-28T22:20:06.000Z,StoreInventory,true,1000,false,bookoutlet_store,99.6,224510,19
303382752054,Black Theatre USA: Plays by African Americans: The Recent Period 1935-Today (Re,PayPal,00000,Flat,10.84,EndedWithoutSales,false,false,2019-11-28T22:15:16.000Z,2019-11-28T22:20:08.000Z,StoreInventory,true,1000,false,bookoutlet_store,99.6,224510,19
303382752057,Nobody Hugs a Cactus,PayPal,00000,Flat,5.99,EndedWithoutSales,false,false,2019-11-28T22:15:16.000Z,2019-11-28T22:20:06.000Z,StoreInventory,true,1000,false,bookoutlet_store,99.6,224510,19
