item_number, item_title, payment_method, postal_code, shipping_method, sales_price, selling_state, best_offer, bin_available, start_time, end_time, listing_type, returns_accepted, condition, top_rated, seller, feedback_percentage, feedback_score, description
352871571518,JPN w/Obi  -  Vain  ‎– Move On It _  PSCW-5036 ,PayPal,00000,Flat,8.99,EndedWithSales,false,false,2019-11-29T07:31:41.000Z,2019-11-29T07:36:06.000Z,StoreInventory,false,4000,false,hinomoto1,100,19613,4234
352871570082,BILL EVANS LIVE AT ART DLUGOFFS TOP OF THE GATE RSD BLACK FRIDAY VINYL LP SET,PayPal,328**,Free,71.99,EndedWithSales,false,false,2019-11-29T07:29:06.000Z,2019-11-29T07:34:21.000Z,FixedPrice,false,1000,false,mias_mummy,100,312,1745
113993087378,U2 THREE  12 VINYL Black Friday 2019 RSD Record Store Day 40th Anniversary u2 3,PayPal,CV4***,Flat,38.64,EndedWithSales,false,false,2019-11-29T07:20:06.000Z,2019-11-29T07:32:54.000Z,FixedPrice,true,1000,false,mikmac2004,100,4797,906
383292124689,Elvis Presley American Sound 1969 2 LP Black Friday RSD 2019 Record Store Day,PayPal,563**,Free,67.95,EndedWithoutSales,false,false,2019-11-29T07:06:08.000Z,2019-11-29T07:06:42.000Z,FixedPrice,false,1000,false,totallydudlicar,100,4,148
202833914104,SLIPKNOT AL OUT LIFE 7 PICTURE DISC VINYL  2019 RSD Black Friday Exclusive,PayPal,CV4***,Flat,37.42,EndedWithSales,false,false,2019-11-29T06:57:22.000Z,2019-11-29T07:33:37.000Z,FixedPrice,true,1000,false,dont_call_me_madge,100,3223,734
383292103678,LES CLAYPOOLS FROG BRIGADE LIVE SET 1 & 2 VINYL LP RECORD SET BLACK FRIDAY RSD,PayPal,986**,Free,75.55,EndedWithSales,false,false,2019-11-29T06:53:35.000Z,2019-11-29T07:06:43.000Z,FixedPrice,false,1000,false,discsandrecords,100,8734,299
113993067391,U2 THREE  12 VINYL Black Friday 2019 RSD Record Store Day 40th Anniversary u2 3,PayPal,CV4***,Flat,38.64,EndedWithSales,false,false,2019-11-29T06:51:07.000Z,2019-11-29T07:19:02.000Z,FixedPrice,true,1000,false,mikmac2004,100,4797,906
184060294636,PULP - This Is Hardcore - Vinyl (gatefold 2xLP),PayPal,00000,Flat,36.83,EndedWithoutSales,false,false,2019-11-29T06:47:23.000Z,2019-11-29T07:00:52.000Z,FixedPrice,true,1000,false,junorecords,99.7,219906,4088
401977277821,VARIOUS - Perpetual Dawn: Year One - Vinyl (12),PayPal,00000,Flat,21.87,EndedWithoutSales,false,false,2019-11-29T06:46:37.000Z,2019-11-29T07:00:52.000Z,FixedPrice,true,1000,false,junorecords,99.7,219906,4250
383292080628,BILL EVANS LIVE AT ART DLUGOFFS TOP OF THE GATE RSD BLACK FRIDAY VINYL LP SET,PayPal,986**,Free,75.55,EndedWithSales,false,false,2019-11-29T06:40:26.000Z,2019-11-29T06:51:59.000Z,FixedPrice,false,1000,false,discsandrecords,100,8734,308
113993057951,MADONNA - I RISE Remixes - Black Friday Vinyl 12  Record Store Day 2019 RSD,PayPal,00000,Flat,69.0,EndedWithSales,false,false,2019-11-29T06:40:03.000Z,2019-11-29T07:06:16.000Z,FixedPrice,true,1000,false,niagara8746,100,1846,2316
143456116686,PEARL JAM MTV UNPLUGGED (3/16/1992) LP VINYL 2019 RSD BLACK FRIDAY,PayPal,802**,Free,78.0,EndedWithSales,false,false,2019-11-29T06:22:14.000Z,2019-11-29T07:00:32.000Z,FixedPrice,false,1000,false,forealsigns,99.4,268,140
153742993359,NM ELVIS PRESLEY (YOURE THE) DEVIL IN DISGUISE 45 RPM RCA VICTOR 47-8188 / HEAR,PayPal,100**,Flat,24.99,EndedWithoutSales,true,false,2019-11-29T06:14:38.000Z,2019-11-29T06:19:39.000Z,StoreInventory,true,3000,false,fmarocho,100,2039,3280
303383088616,SEALED-HARD TO FIND. The Killers - Dont Waste Your Wishes Vinyl 2x LP,PayPal,563**,Flat,50.0,EndedWithoutSales,true,false,2019-11-29T06:14:12.000Z,2019-11-29T07:16:24.000Z,FixedPrice,false,1000,false,theoba5232,100,56,163
113992776299,U2 THREE  12 VINYL Black Friday 2019 RSD Record Store Day 40th Anniversary u2 3,PayPal,CV4***,Flat,38.64,EndedWithSales,false,false,2019-11-29T06:14:06.000Z,2019-11-29T06:27:10.000Z,FixedPrice,true,1000,false,mikmac2004,100,4797,906
113992811295,PEARL JAM MTV UNPLUGGED (16/3/1992) Live VINYL LP 2019 RSD Black Friday ,PayPal,CV4***,Flat,64.5,EndedWithSales,false,false,2019-11-29T06:06:05.000Z,2019-11-29T06:57:45.000Z,FixedPrice,true,1000,false,mikmac2004,100,4797,1211
