item_number, item_title, payment_method, postal_code, shipping_method, sales_price, selling_state, best_offer, bin_available, start_time, end_time, listing_type, returns_accepted, condition, top_rated, seller, feedback_percentage, feedback_score, description
174118993134,Lenovo ThinkPad t460s,PayPal,951**,Free,100.0,EndedWithSales,false,false,2019-12-09T10:42:20.000Z,2019-12-07T22:43:13.000Z,FixedPrice,false,3000,false,non-profitaccount,,0,184
124003134095,Laptop 8GB RAM 750GB Windows 10 Harddisk 14 Fast CPU Iintel Spanish Russian Key,PayPal,112**,Free,485.12,EndedWithoutSales,false,false,2019-12-08T23:26:48.000Z,2019-12-08T01:02:27.000Z,FixedPrice,true,1000,false,yvener11,,8,1072
124003134095,Laptop 8GB RAM 750GB Windows 10 Harddisk 14 Fast CPU Iintel Spanish Russian Key,PayPal,112**,Free,485.12,EndedWithoutSales,false,false,2019-12-08T23:26:48.000Z,2019-12-08T01:02:27.000Z,FixedPrice,true,1000,false,yvener11,,8,1072
124003134095,Laptop 8GB RAM 750GB Windows 10 Harddisk 14 Fast CPU Iintel Spanish Russian Key,PayPal,112**,Free,485.12,EndedWithoutSales,false,false,2019-12-08T23:26:48.000Z,2019-12-08T01:02:27.000Z,FixedPrice,true,1000,false,yvener11,,8,1072
124003134095,Laptop 8GB RAM 750GB Windows 10 Harddisk 14 Fast CPU Iintel Spanish Russian Key,PayPal,112**,Free,485.12,EndedWithoutSales,false,false,2019-12-08T23:26:48.000Z,2019-12-08T01:02:27.000Z,FixedPrice,true,1000,false,yvener11,,8,1072
124003134095,Laptop 8GB RAM 750GB Windows 10 Harddisk 14 Fast CPU Iintel Spanish Russian Key,PayPal,112**,Free,485.12,EndedWithoutSales,false,false,2019-12-08T23:26:48.000Z,2019-12-08T01:02:27.000Z,FixedPrice,true,1000,false,yvener11,,8,1072
303394486163,Notebook Lenovo IdeaPad L340-17IRH Gaming,PayPal,00000,Free,330.0,EndedWithoutSales,false,false,2019-12-08T08:08:37.000Z,2019-12-08T00:17:15.000Z,FixedPrice,false,1500,false,ti-234182,,0,472
362842483712,Toshiba satellite c75d ALL NUMBERS DOCUMENTED AND WILL ONLY REFUND AFTER CHECKED,PayPal,285**,Flat,125.0,EndedWithoutSales,true,false,2019-12-08T03:44:27.000Z,2019-12-07T18:35:54.000Z,FixedPrice,false,3000,false,thered-8907,,0,109
254446675693,Dell Inspiron 7559 with Intel Quad-Core i7-6700HQ 15.6 4K Gaming Laptop,PayPal,245**,Free,190.0,EndedWithSales,true,false,2019-12-08T01:33:28.000Z,2019-12-08T01:40:16.000Z,FixedPrice,false,3000,false,kirbykirbykirby95-5,97.4,253,266
163978803497,Microsoft Surface Pro 64GB Wi-Fi - Black box type key pen,PayPal,928**,Calculated,200.0,EndedWithoutSales,true,false,2019-12-08T00:45:30.000Z,2019-12-08T00:52:28.000Z,FixedPrice,false,3000,false,liddobunny601,100,57,188
223785448608,DELL ALIENWARE 15 R3 15.6 FHD GAMING PC i7-7700HQ 16GB 1TB GTX 1070 WIN 10,PayPal,220**,Flat,800.0,EndedWithoutSales,true,false,2019-12-08T00:26:50.000Z,2019-12-08T00:35:59.000Z,FixedPrice,false,3000,false,dannymikhail89,100,125,1509
184074134446,Acer Predator 17.3 Gaming Laptop with g-sync and over 1.5tb of ssd & 32gb ram,PayPal,890**,Free,998.0,EndedWithSales,true,false,2019-12-08T00:26:39.000Z,2019-12-08T00:54:46.000Z,FixedPrice,false,3000,false,bsabre391,100,104,964
293366746789,Alienware Area 51-M Gaming Laptop,PayPal,640**,Calculated,1500.0,EndedWithoutSales,true,false,2019-12-08T00:26:16.000Z,2019-12-08T01:41:11.000Z,FixedPrice,false,3000,false,panic_attack,100,4,748
324005723781,SAMSUNG NP540U3C ULTRABOOK(i5 3317USSD 250GB8GBRAM3HR BATTERYNO OSTOUCHSCRE,PayPal,601**,Free,250.0,EndedWithoutSales,true,false,2019-12-08T00:26:10.000Z,2019-12-08T00:59:37.000Z,FixedPrice,false,3000,false,vxxiow,100,221,679
324005702057,HP 14 Laptop AMD Ryzen 3 3200U 4GB SDRAM 128GB SSD Silver 14-dk0028wm,PayPal,337**,Free,249.99,EndedWithSales,false,false,2019-12-07T23:54:02.000Z,2019-12-08T01:21:46.000Z,StoreInventory,false,1000,false,cruztechusa,98.3,160,176
233426811196,Dell XPS 9365 13.3in. (256Gb m.2-SSD) (8Gb DDR3 Ram) Intel-i5-7Y54 ,PayPal,451**,Free,420.0,EndedWithoutSales,true,false,2019-12-07T23:49:29.000Z,2019-12-08T00:09:20.000Z,FixedPrice,false,3000,false,fordguy_2012,75,22,276
372867958703,Lenovo Thinkpad E485 Ryzen 5 SSD Under Warranty Less Than 1 Year Old,PayPal,809**,Free,500.0,EndedWithoutSales,true,false,2019-12-07T23:49:08.000Z,2019-12-07T23:52:42.000Z,FixedPrice,true,3000,false,jojonp_onmpahs9,100,25,463
163978753608,Microsoft Surface Book 2 i7 16GB 256GB SSD GPU 15 - Silver,PayPal,773**,Calculated,1275.0,EndedWithSales,true,false,2019-12-07T23:44:02.000Z,2019-12-08T01:14:19.000Z,FixedPrice,false,3000,false,simhrdy,91.7,157,251
383307046037,Lot Of 2  Dell Latitude E6540 & E6440 Core i7 & i5  15.6 Laptops,PayPal,954**,Flat,150.0,EndedWithSales,false,false,2019-12-07T23:38:53.000Z,2019-12-08T00:08:14.000Z,StoreInventory,false,7000,false,davidskittles,100,4991,437
153753679407,HP ProBook 650 G2 Laptop i5 Win 10 Pro 500GB HDD 8GB RAM FREE SHIPPING,PayPal,00000,Free,169.99,EndedWithoutSales,false,false,2019-12-07T23:27:27.000Z,2019-12-08T00:15:35.000Z,FixedPrice,false,3000,false,ltdtech2011,100,350,360
184074069162,New  Hp Zbook 17 G5 Silver Mobile Workstation 43.9 Cm (17.3) 3840 X 2160 Pixels,PayPal,2***,Flat,6282.39,EndedWithoutSales,false,false,2019-12-07T23:08:09.000Z,2019-12-07T23:18:22.000Z,FixedPrice,false,1000,false,be-start,99.5,8235,1293
283702967187,MSI GL62M 7RDX-1408 15.6 (128GB SSD + 1TB HDD Intel Quad-Core i7-7700HQ...,PayPal,975**,Free,468.0,EndedWithSales,true,false,2019-12-07T23:04:02.000Z,2019-12-07T23:33:37.000Z,FixedPrice,false,3000,false,teacupbambi,100,19,500
392575099095,Dell XPS 15 9575 15.6in. (256GB Intel Core i7 8th Gen 3.1Ghz 16GB ) Laptop...,PayPal,00000,Free,174.34,EndedWithSales,false,false,2019-12-07T23:03:48.000Z,2019-12-07T23:45:07.000Z,FixedPrice,false,1000,false,gerson1-37,100,1,479
193245926086,Dell Latitude E5440 Laptop Parts/Repair BOOTS Intel Core i7 16GB RAM NO BATT/HD,PayPal,208**,Calculated,49.99,EndedWithSales,true,false,2019-12-07T22:43:14.000Z,2019-12-07T23:37:22.000Z,StoreInventory,false,7000,false,jonabro66,99.2,365,161
324005653583,Alienware M17 R2 Lunar Light 17.3 Intel i7 9750H 144hz NVIDIA RTX 2070 512 SSD,PayPal,900**,Free,1495.5,EndedWithSales,false,false,2019-12-07T22:43:11.000Z,2019-12-08T00:30:43.000Z,StoreInventory,true,3000,false,techindiscount,100,1604,474
193245910396,Dell Latitude E5450 Core i7 Laptop 16GB RAM No HDD/OS please read parts/repair,PayPal,208**,Calculated,49.99,EndedWithSales,true,false,2019-12-07T22:35:34.000Z,2019-12-07T23:06:58.000Z,StoreInventory,false,7000,false,jonabro66,99.2,365,176
163978691247,Panasonic Toughbook CF-19 Touch Conv-tablet i 5 Cpu 3340m 2.70ghz 160gb Hdd ,PayPal,175**,Calculated,221.0,EndedWithoutSales,true,false,2019-12-07T22:35:19.000Z,2019-12-07T22:36:32.000Z,StoreInventory,true,3000,false,keithaumentcomputers,99.8,1757,164
264559719876,Toshiba Satellite c55-c5390 Laptop ,PayPal,902**,Free,120.0,EndedWithSales,false,false,2019-12-07T22:29:00.000Z,2019-12-07T23:08:39.000Z,FixedPrice,false,3000,false,zickkicks10,100,78,244
