item_number, item_title, payment_method, postal_code, shipping_method, sales_price, selling_state, best_offer, bin_available, start_time, end_time, listing_type, returns_accepted, condition, top_rated, seller, feedback_percentage, feedback_score, description
193239011637,11m Telescopic Long Fishing Rod 12 Sections Rock Fishing G####,PayPal,00000,Free,59.68,EndedWithSales,false,false,2019-12-04T18:06:01.000Z,2019-12-03T06:12:36.000Z,FixedPrice,false,1000,false,NA,NA,NA,NA
233422012256,New Fitbit Charge 3 Fitness Activity Tracker  - Touchscreen Swim Proof,PayPal,103**,CalculatedDomesticFlatInternational,39.99,EndedWithSales,false,false,2019-12-04T03:25:16.000Z,2019-12-03T03:37:02.000Z,FixedPrice,false,1000,false,NA,NA,NA,NA
362836680623,Kryptek Alaios Armour Pant,PayPal,531**,Flat,89.0,EndedWithoutSales,false,false,2019-12-04T02:28:31.000Z,2019-12-03T03:15:43.000Z,FixedPrice,false,1000,false,tolam61,,0,497
123997408796,Streamlight Tlr-vir Ii - Black -,NA,843**,Free,322.35,EndedWithoutSales,false,false,2019-12-03T16:37:12.000Z,2019-12-03T08:36:44.000Z,FixedPrice,true,1000,false,thecampsaver,98.7,2208,100
113998935808,Streamlight Tlr-6 Without Laser Glock 26/27/33 -,NA,843**,Free,87.99,EndedWithoutSales,false,false,2019-12-03T16:31:23.000Z,2019-12-03T08:36:12.000Z,FixedPrice,true,1000,false,thecampsaver,98.7,2208,100
113998935575,Streamlight Tlr-6 Without Laser Glock 42/43 -,NA,843**,Free,75.79,EndedWithoutSales,false,false,2019-12-03T16:30:51.000Z,2019-12-03T08:36:51.000Z,FixedPrice,true,1000,false,thecampsaver,98.7,2208,100
264553393126,ABU GARCIA AMBASSADEUR 5000 FISHING REEL ,PayPal,600**,Calculated,29.99,EndedWithoutSales,true,false,2019-12-03T15:35:25.000Z,2019-12-03T04:03:44.000Z,FixedPrice,false,3000,false,antiquedredger,,5,169
312871732801,Nike Zoom Victory 3 Track Spike Blue Black Green Men’s Size 11 (835997-413),PayPal,986**,Free,55.0,EndedWithoutSales,false,false,2019-12-03T15:33:28.000Z,2019-12-03T03:35:25.000Z,FixedPrice,false,1500,false,brach-5390,,0,118
264553377884,BRAUER BROS ST. LOUIS LEATHER BELT HOLSTER,PayPal,600**,Calculated,34.99,EndedWithoutSales,true,false,2019-12-03T15:15:27.000Z,2019-12-03T04:03:07.000Z,FixedPrice,false,3000,false,antiquedredger,,5,241
254441791836,NIKON P-Series 30mm Flat Dark Earth Riflescope Ringmount 16349,PayPal,761**,Free,60.31,EndedWithoutSales,false,false,2019-12-03T15:04:16.000Z,2019-12-03T09:51:47.000Z,FixedPrice,true,1000,false,webyshops,99.2,22580,2702
254441769367,LEE Pistol Decapper 90027,PayPal,761**,Free,13.98,EndedWithoutSales,false,false,2019-12-03T14:33:01.000Z,2019-12-03T08:44:03.000Z,FixedPrice,true,1000,false,webyshops,99.2,22580,2199
283697609587,Cdm Gear Mtr Gun Light Mount For Mossberg - for Rail Mountable Tactical Light,PayPal,761**,Free,45.28,EndedWithoutSales,false,false,2019-12-03T14:32:54.000Z,2019-12-03T08:44:04.000Z,FixedPrice,true,1000,false,webyshops,99.2,22580,3658
264554789439,Vortex Optics Viper Pro 30mm High Height Riflescope Rings VPR-30H,PayPal,761**,Free,59.0,EndedWithoutSales,false,false,2019-12-03T14:32:40.000Z,2019-12-03T08:43:58.000Z,FixedPrice,true,1000,false,webyshops,99.2,22580,3316
254441769074,Vortex Optics Tactical 30mm Red Dot Extra High Riflescope Ring TRXH,PayPal,761**,Free,24.43,EndedWithoutSales,false,false,2019-12-03T14:32:36.000Z,2019-12-03T08:43:59.000Z,FixedPrice,true,1000,false,webyshops,99.2,22580,2879
254441769076,Vortex Optics Tactical 30mm Red Dot Low Height Riflescope Ring TRL,PayPal,761**,Free,24.43,EndedWithoutSales,false,false,2019-12-03T14:32:36.000Z,2019-12-03T08:44:00.000Z,FixedPrice,true,1000,false,webyshops,99.2,22580,2871
264554789372,Vortex Optics Tactical 30mm Red Dot High Height Riflescope Ring TRH,PayPal,761**,Free,24.43,EndedWithoutSales,false,false,2019-12-03T14:32:36.000Z,2019-12-03T08:44:00.000Z,FixedPrice,true,1000,false,webyshops,99.2,22580,2869
283697609387,Vortex Optics Hunter 1-inch Riflescope Rings - Medium Height RING-M,PayPal,761**,Free,24.43,EndedWithoutSales,false,false,2019-12-03T14:32:36.000Z,2019-12-03T08:44:00.000Z,FixedPrice,true,1000,false,webyshops,99.2,22580,2677
283697609390,Vortex Optics Hunter 1-inch Riflescope Rings - High Height RING-H,PayPal,761**,Free,24.43,EndedWithoutSales,false,false,2019-12-03T14:32:36.000Z,2019-12-03T08:43:56.000Z,FixedPrice,true,1000,false,webyshops,99.2,22580,2744
264554789366,Nikon Ringmounts For 1 inch Tube Riflescopes RealTree Finish 8182,PayPal,761**,Free,34.09,EndedWithoutSales,false,false,2019-12-03T14:32:35.000Z,2019-12-03T08:44:04.000Z,FixedPrice,true,1000,false,webyshops,99.2,22580,3034
223778255164,2255200 Glock G19 Gen 3 .177 Steel BB Pistol Black,NA,630**,Flat,60.69,EndedWithoutSales,false,false,2019-12-03T13:43:00.000Z,2019-12-03T09:29:39.000Z,FixedPrice,true,1000,true,poor_fish,99.8,233519,6185
123997215929,Streamlight Tlr-vir Ii - Black -,NA,843**,Free,322.35,EndedWithoutSales,false,false,2019-12-03T12:37:22.000Z,2019-12-03T04:17:28.000Z,FixedPrice,true,1000,false,thecampsaver,98.7,2208,100
362836890351,2251813 Umarex Legends MP 0.177 BB 10 inch Barrel 52 Rounds Black,NA,630**,Flat,170.69,EndedWithoutSales,false,false,2019-12-03T12:37:02.000Z,2019-12-03T09:29:42.000Z,FixedPrice,true,1000,true,poor_fish,99.8,233519,6340
123997212690,Streamlight Tlr-6 Without Laser Glock 42/43 -,NA,843**,Free,75.79,EndedWithoutSales,false,false,2019-12-03T12:32:03.000Z,2019-12-03T04:17:33.000Z,FixedPrice,true,1000,false,thecampsaver,98.7,2208,100
113998689462,Streamlight Tlr-6 Without Laser Glock 26/27/33 -,NA,843**,Free,87.99,EndedWithoutSales,false,false,2019-12-03T12:31:54.000Z,2019-12-03T04:17:50.000Z,FixedPrice,true,1000,false,thecampsaver,98.7,2208,100
274125193186,USA Hunting Tactical Single one Point Adjustable Bungee Rifle Gun Sling Strap,PayPal,088**,Free,5.99,EndedWithoutSales,true,false,2019-12-03T12:24:00.000Z,2019-12-03T06:37:48.000Z,FixedPrice,true,1000,false,starshop*2012,99,27632,884
223778163556,New Hornady LNL AP Primer Pocket Swage Tool  223 5.56 Only,PayPal,630**,Free,107.34,EndedWithoutSales,false,false,2019-12-03T12:17:06.000Z,2019-12-03T07:16:39.000Z,FixedPrice,true,1000,false,survivorman626,100,380,1521
174114275055,Scotty Cameron  Future X 5R34” With HC,PayPal,210**,Calculated,165.0,EndedWithSales,false,false,2019-12-03T11:34:46.000Z,2019-12-02T23:58:46.000Z,FixedPrice,false,1500,false,marleon3,,1,79
153748254234,Hardy Ultralite CA DD 3000 3/4/5 Fly Reel New In Box,PayPal,199**,Calculated,175.0,EndedWithSales,true,false,2019-12-03T11:12:02.000Z,2019-12-03T11:27:39.000Z,FixedPrice,false,1000,false,bigfishjap1,100,46,113
163972358433,1998 Redline RL340 Bmx Bike,PayPal,781**,Calculated,135.0,EndedWithoutSales,true,false,2019-12-03T11:04:02.000Z,2019-12-03T11:04:21.000Z,FixedPrice,false,NA,false,jason227,98.4,173,252
202840887967,Dye DSR i5 ninja SL2 77 BwDeuce Trigger freak xl barrel kit Lava R2 and harness,PayPal,778**,Flat,950.0,EndedWithoutSales,true,false,2019-12-03T10:49:47.000Z,2019-12-03T08:49:28.000Z,FixedPrice,false,3000,false,jotel5046,,0,154
193238634691,CQR Mens Tactical Pants Lightweight EDC (34W x 30L|Duratex(tlp104) - Khaki),PayPal,00000,Free,43.44,EndedWithoutSales,false,false,2019-12-03T10:45:11.000Z,2019-12-03T06:00:05.000Z,FixedPrice,true,1000,false,unnamen_22,,0,4152
202840882256,Black Dye DSR Paintball Marker billy wing trigger and freak xl kit,PayPal,778**,Calculated,650.0,EndedWithoutSales,true,false,2019-12-03T10:38:47.000Z,2019-12-03T08:48:52.000Z,FixedPrice,false,3000,false,jotel5046,,0,128
293359705157,PRECOR RBK 885.  Recumbent exercise bike WITH P80 CONSOLE. Used ,PayPal,927**,FreePickup,1300.0,EndedWithoutSales,true,false,2019-12-03T10:37:53.000Z,2019-12-03T10:47:39.000Z,FixedPrice,false,3000,false,9deuce,99.2,407,101
113998937638,Julbo Vermont Classic Sunglasses Gun/White with Spectron 3CF Lenses Gun/White,NA,843**,Free,150.0,EndedWithoutSales,false,false,2019-12-03T10:36:58.000Z,2019-12-03T08:36:28.000Z,FixedPrice,true,1000,false,thecampsaver,98.7,2208,100
202840878574,Dye Rotor R2 Paintball Loader - Lava dyecam With Speedfeed exalt loader case,PayPal,778**,Calculated,150.0,EndedWithoutSales,true,false,2019-12-03T10:30:13.000Z,2019-12-03T08:47:29.000Z,FixedPrice,false,3000,false,jotel5046,,0,138
312872180428,Nike Air Jordan Future Low Wolf Grey Emerald Rise Men Lifestyle Shoes 718948-006,PayPal,00000,Flat,59.99,EndedWithoutSales,false,false,2019-12-03T10:24:50.000Z,2019-12-03T11:12:55.000Z,FixedPrice,true,1000,true,id4shoes,99.7,102956,1153
312872180428,Nike Air Jordan Future Low Wolf Grey Emerald Rise Men Lifestyle Shoes 718948-006,PayPal,00000,Flat,59.99,EndedWithoutSales,false,false,2019-12-03T10:24:50.000Z,2019-12-03T11:12:55.000Z,FixedPrice,true,1000,true,id4shoes,99.7,102956,1153
123997394244,1911-Cachas-45 Gun Grips-Colt  CAMPOS Government-24K-Gold-Plated Free Screws,PayPal,750**,Free,300.0,EndedWithSales,false,false,2019-12-03T10:15:07.000Z,2019-12-03T04:21:08.000Z,FixedPrice,false,1000,false,plateros777,100,1612,596
193239359159,Early 1900s photo Dreadnought cricket team horse and cart,PayPal,2***,Flat,27.25,EndedWithSales,true,false,2019-12-03T10:14:24.000Z,2019-12-03T10:46:08.000Z,StoreInventory,true,3000,false,australian-vintage-records,99.6,1818,87
184068170333,BPP ISCG 36t CHAINGUIDE ! CNC ! NEW !  GOLD ! made in GERMANY,CashOnPickup,*****,Flat,69.0,EndedWithoutSales,true,false,2019-12-03T10:13:01.000Z,2019-12-03T10:14:05.000Z,FixedPrice,true,1500,false,bikeriders96,98.8,408,122
312872171650,POC POCito Iris Goggles - Girls,PayPal,841**,Free,79.95,EndedWithoutSales,false,false,2019-12-03T10:12:58.000Z,2019-12-03T10:34:07.000Z,FixedPrice,true,1000,false,Backcountry,99.6,78155,6253
312872171650,POC POCito Iris Goggles - Girls,PayPal,841**,Free,79.95,EndedWithoutSales,false,false,2019-12-03T10:12:58.000Z,2019-12-03T10:34:07.000Z,FixedPrice,true,1000,false,Backcountry,99.6,78155,6253
312872171650,POC POCito Iris Goggles - Girls,PayPal,841**,Free,79.95,EndedWithoutSales,false,false,2019-12-03T10:12:58.000Z,2019-12-03T10:34:07.000Z,FixedPrice,true,1000,false,Backcountry,99.6,78155,6253
